a,b,c
-0.56,-0.78,1
0.82,-0.84,1
-0.6,-0.02,1
-0.06,-0.82,-1
-0.85,-0.33,1
0.12,-0.42,1
0.27,-0.28,1
-0.11,0.81,-1
-0.71,0.32,1
-0.17,0.92,1
-0.03,-0.97,-1
0.09,0.96,1
0.96,-0.75,1
0.98,0.17,1
0.9,0.27,-1
0.04,-0.67,-1
-0.68,0.4,1
0.23,0.14,-1
0.66,0.27,1
0.46,-0.47,-1
0.33,-0.41,-1
-0.16,-0.7,1
-0.67,-0.59,1
0.58,0.3,1
-0.87,-0.14,-1
0.87,-0.74,1
-0.08,-0.05,-1
0.23,0.47,1
0.85,-0.84,1
0.26,-0.81,-1
-0.5,-0.41,1
0.03,-0.06,1
-0.84,0.29,1
-0.31,-0.89,1
-0.24,0.39,-1
0.69,-0.22,1
-0.66,-0.71,-1
0.79,-0.06,1
-0.39,0.97,1
0.62,0.13,1
0.99,0.75,-1
-0.82,-0.08,1
-0.86,0.95,-1
0.23,0.59,1
0.26,0.26,-1
0.51,0.03,1
-0.47,-0.18,1
-0.78,0.51,-1
0.49,0.12,1
-0.39,-0.83,-1
-0.23,-0.63,-1
-0.69,-0.35,-1
1,-0.28,-1
-0.55,0.76,1
0.3,0.34,-1
0.77,-0.86,-1
-0.37,-0.03,1
0.13,0.8,1
0.43,0.77,1
0.63,0.34,-1
-0.73,-0.95,-1
-0.42,-0.78,1
0.37,1,1
0.27,0.71,1
-0.36,-0.07,1
0.68,0.32,-1
-0.86,-0.79,1
0.14,-0.12,1
0.45,-0.51,1
-0.14,-0.36,1
-0.64,0.87,1
0.78,-0.67,1
0.07,0.32,1
0.45,0.46,1
-0.87,-0.23,1
-0.03,-0.85,1
-0.34,-0.09,-1
0.67,0.34,1
0.99,0.29,-1
0.6,0.58,-1
-0.96,-0.13,1
-0.88,-0.83,1
-0.08,0.81,-1
0.01,0.59,1
-0.12,-0.17,1
-0.37,0.51,-1
0.37,-0.87,-1
-0.24,-0.94,1
0.31,0.95,-1
0.19,0.97,-1
-0.4,0.71,1
0.57,0.35,-1
0.62,0.06,-1
0.55,0.96,1
0.98,0.49,1
-0.8,-0.57,1
-0.32,-0.32,1
-0.56,0.35,-1
0.24,-0.15,1
0.46,-0.8,-1
-0.99,0.29,1
1,0.35,1
-0.21,0.55,1
0.04,-0.58,-1
0.78,0.24,1
-0.38,-0.09,1
0.16,-0.2,1
-0.27,-0.83,1
0.59,0.16,-1
-0.38,0.21,1
-0.9,0.96,-1
0.24,-0.56,1
0.91,-0.57,1
0.01,0.58,1
-0.99,0.93,1
0.9,-0.33,1
-0.19,0.13,1
0.61,0.42,-1
0.22,0.84,1
-0.18,0.09,-1
-0.44,0.26,1
0.22,0.84,1
0.39,-0.57,-1
-0.71,-0.31,1
0.31,-0.12,1
0.95,-0.92,1
0.16,-0.91,1
0,0.58,1
0.58,0.91,1
-0.69,0.9,1
0.96,-0.9,1
-0.59,-0.7,1
-0.93,0.17,1
-0.32,0.76,-1
0.98,0.45,1
-0.34,0.11,1
0.77,-0.15,1
-0.25,0.41,1
0.39,0.65,1
-0.56,-1,1
0.58,-0.42,1
0.37,-0.56,-1
0.64,-0.29,1
-0.9,-0.14,-1
0.51,0.51,1
-0.64,-0.9,-1
0.48,0.01,1
-0.36,-0.51,-1
-0.34,0.15,-1
0.57,-0.48,-1
0.17,0.63,-1
-0.46,0.75,1
0.23,-0.08,-1
-0.66,-1,1
0.94,-0.48,-1
-0.05,-0.31,1
0.46,0.11,1
0.04,0.65,-1
0.56,-0.01,1
0.26,-0.58,1
-0.28,0.14,1
-0.96,0.58,1
-0.38,-0.81,1
-0.93,-0.75,1
0.6,0.24,1
0.02,0.81,1
-0.09,0.52,1
-0.37,-0.37,1
-0.29,0.84,1
-0.73,0.97,1
-0.39,0.33,1
-0.87,0.75,1
0.32,-0.12,1
-0.16,-1,1
-0.31,0.56,1
-0.36,0.34,1
0.47,-0.73,1
-0.36,-0.72,1
0.52,0.19,-1
0.24,0.62,1
-0.46,-0.64,1
-0.6,0.77,1
-0.69,-0.29,1
0.21,0.22,-1
-0.23,0.5,1
-0.85,0.6,1
-0.41,0.03,-1
-0.18,0.95,-1
-0.87,0.4,-1
-0.66,0.82,1
0.45,-0.91,1
0.46,-0.39,1
0.92,0.44,1
0.94,-0.56,1
-0.16,0.87,-1
0.21,0.59,1
-0.3,-0.69,-1
-0.4,0.19,1
-0.31,-0.89,1
-0.54,0.24,1
-0.49,0.4,1
-0.93,-0.99,1
-0.46,0.35,-1
-0.6,0.46,1
0.58,0.92,-1
0.26,0.68,1
0.67,0.95,1
-0.52,-0.06,1
0.85,0.3,1
0.23,0.21,1
-0.96,-0.23,1
0.36,-0.09,1
0.34,-0.49,1
-0.62,0.83,-1
-0.64,-0.5,1
0.98,-0.6,1
0.66,0.57,1
0.33,-0.49,1
0.2,-0.47,-1
-0.2,-0.78,-1
0.68,-0.35,-1
-0.84,0.96,-1
-0.31,-0.54,1
-0.24,0.95,1
-0.12,0.37,-1
0.49,-0.48,1
-0.04,0.45,-1
-0.9,-0.58,1
-0.17,0.68,1
0.84,0.43,-1
0.73,0.82,1
-0.83,-1,1
-0.91,-0.02,-1
0.09,0.1,1
-0.22,0.04,-1
0.38,-0.41,1
0.52,1,-1
-0.59,0.28,-1
-0.6,-0.96,1
-0.65,0.92,-1
-0.36,0.19,-1
-0.8,0.47,1
0.57,0.61,1
-0.66,0.13,-1
-0.03,0.03,1
0.93,-0.12,1
0.14,-0.94,1
-0.5,0.86,-1
0.57,-0.95,-1
-0.76,-0.45,1
-0.92,0.57,-1
-0.18,0.6,1
0.55,-0.42,1
-0.09,0.74,-1
-0.57,0.37,1
0.73,-0.04,1
-0.32,0.35,1
-0.78,0.81,1
0.03,0.98,-1
-0.86,0.35,1
0.77,-0.32,-1
-0.23,0.87,1
-0.99,-0.35,1
0.26,0.98,1
-0.29,0.65,-1
-0.34,-0.18,-1
0.87,0.14,-1
0.93,0.24,-1
0.43,0.18,-1
0.68,0.51,-1
-0.85,0.31,-1
0.64,-0.08,1
-0.23,-0.09,1
-0.94,0.68,-1
0.9,0.17,1
0.06,-0.01,1
0.96,0.11,1
0.42,-0.67,-1
0.67,-0.99,1
0.72,-0.82,-1
-0.56,-0.68,-1
0.96,0.6,1
-0.95,-0.17,1
0.98,0.82,-1
0.64,0.13,1
-0.96,0.61,-1
-0.58,0.25,1
0.54,-0.91,-1
-0.75,0.54,1
-0.11,-0.83,-1
0.97,-0.28,1
-0.69,-0.88,-1
-0.26,-0.49,1
0.13,0.39,-1
0.31,0.87,1
0.13,0.11,1
-0.48,-0.34,1
0.72,0.96,1
-0.51,-0.99,1
0.41,0.36,1
0.45,-0.13,1
0.92,0.13,-1
0.02,-0.9,-1
-0.08,0.3,-1
-0.88,0.24,1
0.6,0.7,-1
-0.37,0.98,-1
0.06,0.18,-1
-0.04,-0.6,-1
0.05,-0.84,-1
0.65,-0.86,1
-0.16,-0.79,1
0.17,0.68,1
-0.82,-0.96,1
-0.5,-0.95,1
-0.74,-0.56,1
-0.54,0.06,-1
-0.3,-0.72,1
0.05,-0.2,-1
-0.92,0.99,1
0.47,-0.7,-1
0.12,0.28,-1
-0.58,-0.26,1
-0.05,0.84,1
-0.03,0.5,1
0.87,0.67,1
-0.6,-0.99,1
0.71,-0.91,1
-0.68,-0.75,1
-0.4,-0.95,1
0.32,-0.95,1
0.6,0.8,-1
0.56,0.75,1
0.1,-0.06,-1
-0.87,-0.61,-1
-0.22,0.49,1
-0.59,-0.73,-1
-0.73,0.27,1
-0.01,0.84,1
-0.64,-0.63,-1
-0.11,-0.49,-1
0.53,0.1,-1
0.77,-0.93,1
-0.23,-0.54,1
0.74,0.07,1
-0.97,-0.58,1
-0.61,-0.35,1
0.55,-0.51,1
0.92,0.9,1
0.58,-0.38,1
-0.32,0.15,1
-0.22,-0.96,1
-0.3,-0.7,-1
-0.56,0.77,1
0.45,-0.24,1
-0.93,0.94,1
0.61,-0.13,1
-0.68,0.46,1
-0.25,0.41,-1
-0.69,0.18,1
0.67,-0.54,1
-0.98,-0.06,1
-0.01,-0.13,-1
-0.76,-0.94,-1
0.91,0.16,-1
0.98,-0.48,1
-0.26,0.07,1
-0.09,0.77,1
0.51,-0.44,1
0.96,-0.59,1
-0.22,-0.1,1
-0.85,0.76,1
-0.22,-0.89,1
0.99,-0.35,-1
-0.1,-0.01,1
-0.79,0.85,1
-0.93,0.96,1
0.8,-0.07,1
-0.93,0.76,-1
0.96,0.55,1
-0.7,0.82,1
0.02,0.26,1
-0.63,0.89,-1
0.74,0.63,1
-0.22,0.75,1
-0.97,0.84,1
-0.26,-0.27,-1
0.68,-0.37,-1
0.73,0.15,1
-0.87,-0.67,1
-0.37,0.48,-1
0.71,0.61,-1
0.99,0.79,1
0.01,-0.8,-1
0.54,0.83,1
0.16,0.31,-1
-0.43,-0.55,-1
-0.01,0.46,-1
-0.69,0.74,1
0.83,-0.43,1
0.72,0.68,1
0.33,0.82,1
0.15,-0.79,1
0.81,-0.25,-1
1,0.77,1
-0.73,0.4,1
0.1,0.24,1
-0.48,-0.62,-1
0.94,-0.78,1
0.14,0.29,1
-0.69,0.44,-1
-0.13,0.49,-1
-0.43,-0.25,-1
-0.58,-0.5,1
0.93,0.83,-1
-0.74,-0.07,1
-0.68,0.93,1
-0.25,0.43,-1
0.54,-0.6,1
0.57,-0.48,1
-0.25,-0.08,1
0.28,0.85,-1
-0.26,-0.62,1
-0.6,0.63,1
0.77,-0.73,1
-1,-0.72,1
1,-0.33,-1
0.79,0.09,1
0.48,1,-1
0.3,0.72,1
0.65,-0.83,1
-0.52,0.16,1
0.33,-0.3,1
-0.86,0.39,-1
-0.02,0.79,1
0.4,-0.17,1
-0.74,-0.46,1
-0.07,-0.77,1
-0.25,0.82,1
0.65,0.88,-1
-0.62,0.36,1
0.29,-0.8,1
-0.15,0.92,1
0.12,0.47,1
-0.1,0.64,1
0.95,-0.64,1
-0.8,0.4,1
-0.17,0.04,1
-0.1,-0.46,1
0.57,-0.45,1
0.53,-0.38,1
0.46,0.13,-1
0.91,-0.36,1
0.7,0.1,1
-0.12,0.26,1
0.29,0.51,1
-0.97,0.6,1
-0.05,0.88,1
0.56,-0.75,1
-0.16,0.42,1
0.5,-0.15,1
-0.67,0.22,1
0.98,-0.67,1
0.73,0.78,1
0.03,0.58,1
0.93,-0.94,-1
-0.09,-0.51,1
-0.32,0.59,1
0.14,0.48,1
-0.84,-0.87,1
-0.92,-0.24,1
0.67,0.74,1
0.04,0.87,1
-0.3,-0.42,1
0.8,0.49,-1
-0.33,0.36,1
0.03,-0.54,1
0.24,0.54,1
0.33,0.35,1
-0.22,-0.51,1
-0.63,0.4,1
0.71,0.52,1
-0.99,0.96,1
-0.03,0.26,1
-0.32,-0.53,1
-0.6,0.01,1
-0.28,0.52,1
0.04,0.49,1
-0.87,-0.61,1
0.29,0.8,1
0.92,0.16,-1
0.71,0.4,1
-0.36,0.96,1
-0.82,-0.61,1
0.75,0.59,1
-0.7,-0.24,1
-0.14,-0.58,1
0.46,0.34,1
-0.46,0.31,-1
-0.45,0.21,1
-0.72,-0.63,1
-0.52,-0.74,1
0.36,0.86,1
0.21,-0.38,1
0.95,0.93,1
0.24,0.69,1
-0.84,0.41,-1
-0.88,-0.32,1
0,0.62,-1
0.78,-0.75,1
0.18,0.22,-1
-0.9,0.32,1
0.31,-0.75,-1
-0.78,0.99,1
0.33,0.78,-1
-0.67,-0.18,-1
-0.98,-0.51,1
-0.67,-0.43,1
0.42,-0.02,1
0.77,-0.85,1
-0.6,-0.19,-1
0.65,-0.63,1
0.9,-0.88,1
0.97,-0.98,1
-0.31,0.26,-1
-0.86,-0.6,-1
-0.59,-0.83,1
0.81,-0.1,1
-0.29,-0.39,-1
0.42,0.6,1
-0.13,-0.16,1
0.2,0.7,-1
-0.95,-0.64,1
0.06,0.17,-1
-0.78,0.49,1
0.71,0.35,-1
-0.64,-0.69,1
-0.16,-0.16,1
-0.71,-0.71,1
0.15,0.49,-1
-0.46,-0.81,1
-0.16,0.74,1
-0.98,-0.87,1
0.68,-0.7,-1
-0.18,-0.68,1
0.19,-0.6,-1
0.97,0.12,-1
0.39,0.9,-1
-0.93,0.6,-1
-0.41,0.78,1
0.42,-0.22,1
0.38,0.49,1
0.3,-0.93,-1
0.07,0.46,1
-0.56,-0.33,1
-0.39,0.94,-1
-0.86,0.65,1
0.23,-0.76,-1
0.87,-0.44,1
-0.04,1,1
0.94,-0.28,-1
0.9,0.94,-1
-0.44,-0.56,-1
-0.71,0.85,1
0.99,0.83,1
-0.59,-0.67,1
0.85,-0.41,1
-0.45,-0.37,-1
-0.32,0.66,1
1,-0.88,-1
-0.31,0.24,1
-0.42,0.9,1
0.74,-0.11,-1
-0.17,0.5,-1
-0.33,0.99,1
0.53,-0.23,1
-0.43,-0.37,1
0.73,-0.47,1
0.4,0.14,1
-0.65,0.79,-1
0.31,-0.01,1
-0.49,0.81,1
0.86,-0.92,1
0.96,0.67,-1
0.39,-0.34,1
-0.15,0.65,1
0.2,-0.65,-1
-0.24,0.81,1
-0.39,0.76,-1
-0.69,1,1
-0.05,-0.33,1
0.39,-0.79,-1
-0.94,0.66,-1
0.69,-0.57,-1
0.19,-0.08,-1
0.32,-0.48,1
0.13,-0.72,1
0.39,-0.06,1
-0.34,0.97,1
0.87,-0.63,-1
-0.18,0.57,1
-0.56,0.49,1
-0.97,0.79,1
0.81,0.49,-1
-0.45,0.46,-1
-0.34,-0.68,-1
-0.22,0.36,1
0.81,-0.43,-1
-0.94,0.86,1
-0.98,0,-1
-0.12,-0.55,-1
-0.66,1,1
-0.73,-0.1,1
-0.19,0.68,1
0.04,0.18,-1
0.41,0.19,1
0.64,0.56,-1
-0.88,0.55,-1
0.4,-0.67,1
0.23,-0.16,-1
-0.03,-0.89,-1
0.73,0.03,-1
-0.96,-0.73,1
-0.29,-0.03,-1
0.16,0.43,1
0.63,0.99,1
0.29,-0.59,1
-0.17,-0.68,-1
-0.37,0.78,1
-0.95,-0.33,1
-0.68,-0.86,1
-0.79,-0.91,1
0.87,0.54,-1
-0.06,-0.21,1
-0.3,0.71,-1
-0.09,0.85,1
0.48,0.34,1
0.5,-0.13,-1
0.67,0.57,1
0.36,0.17,-1
-0.03,-0.23,1
0.65,0.65,-1
0.15,-0.08,1
0.11,0.03,1
-1,0.24,1
0.6,-0.71,-1
0,-0.2,-1
-0.2,-0.08,1
-0.53,-0.99,1
-0.5,-0.69,-1
0.84,-0.07,1
-0.32,0.8,-1
-0.98,-0.41,-1
-0.62,-0.9,1
0.89,-0.05,-1
-0.27,0.27,1
-0.89,-0.67,1
-0.86,0.65,-1
-0.68,0.23,1
-0.46,-0.82,1
-0.26,0.64,1
-0.87,0.22,-1
-0.59,0.72,1
0.82,0.38,1
0.82,0.07,1
0.61,-0.56,1
0.69,0.6,1
-0.41,-0.17,-1
0.83,0.51,1
0.2,-0.82,-1
0.11,-0.31,1
-0.77,0.74,1
-0.09,0.49,1
-0.95,0.52,1
-0.56,-0.68,1
0.04,0.86,-1
0.1,-0.41,-1
-0.41,0.42,1
