a,b,c
-0.18,0.49,1
-0.83,0.81,1
0.53,-0.1,1
-0.64,0.54,1
0.62,-0.91,1
0.85,0.21,1
-0.17,0.11,1
0.62,-0.38,-1
0.63,-0.41,-1
0.71,0.3,-1
0.89,0.56,-1
0.54,0.36,-1
-0.54,0.12,1
0.51,-0.85,1
0.16,0.18,1
0.18,0.01,-1
-0.7,-0.73,1
0.59,0.47,1
0.84,-0.16,1
-0.98,-0.22,1
0.4,-0.12,1
-0.59,-0.91,1
-0.24,-0.87,-1
0.77,0.7,-1
-0.46,0.33,1
0.4,-0.31,-1
0.07,0.52,1
0.97,0.51,1
-0.36,-0.74,1
0.5,-0.06,1
-0.55,0.32,1
0.31,-0.58,1
-0.2,0.66,1
0.6,0.29,-1
-0.17,-0.43,-1
-0.96,0.17,1
0.9,-0.46,1
0.21,-0.28,-1
-0.36,0.68,1
0.82,0.43,1
0.23,1,-1
-0.29,-0.13,1
0.3,-0.69,-1
-0.38,0.71,1
0.2,-0.6,1
0.18,-0.34,-1
0.79,0.79,1
-0.71,0.17,1
0.44,-0.82,1
-0.51,0.68,1
0.83,-0.88,-1
-0.87,0.21,1
-0.72,-0.86,-1
-0.98,-0.22,1
-0.74,-0.01,1
-0.78,-0.6,-1
0,0.64,1
-0.86,-0.65,1
0.03,-0.73,1
-0.6,-0.63,1
-0.38,0.2,-1
0,0.42,-1
-0.06,0.24,1
0.26,-0.14,1
0.06,0.37,1
-0.97,0.66,1
0.93,-0.63,1
-0.99,-0.21,1
0.47,0.09,1
-0.02,0.93,1
-0.59,0.69,1
0.03,0.58,1
-0.56,0.75,-1
0.3,0.38,1
-0.27,0.9,1
0.69,0.7,1
-0.72,-0.77,-1
-0.79,-0.12,-1
-0.5,-0.25,1
0.24,0.69,-1
0.42,0.54,1
0.55,-0.76,-1
0.91,-0.52,-1
0.3,-0.66,1
0.25,-0.37,1
0.15,-0.3,1
-0.88,0.21,-1
0.59,0.2,-1
0.77,0.89,-1
-0.16,-0.61,1
0.84,-0.11,1
-0.03,-0.72,1
-0.41,-0.51,1
-0.76,0.57,1
-0.94,0.73,1
-0.83,-0.66,-1
0.2,0.81,1
-0.01,0.48,1
-0.5,0.4,-1
1,0.17,1
0.44,0.16,-1
0.33,0.06,1
-0.86,0.49,1
-0.02,0.7,-1
0.29,-0.95,-1
0.84,0.65,1
-0.87,-0.22,1
-0.2,0.67,-1
0.3,-0.28,1
-0.13,0.63,-1
-0.45,-0.37,1
0.03,0.68,1
-0.86,-0.22,-1
-0.15,0.54,-1
-0.08,-0.9,1
0.82,-0.65,-1
0.52,0.09,-1
-0.52,-0.62,-1
-0.2,0.94,1
0.81,-0.19,-1
0.11,0.55,-1
-0.5,0.46,1
0.35,0.07,1
0.8,-0.02,1
-0.53,0.3,1
0.28,-0.35,1
-0.57,-0.28,1
-0.77,-0.26,1
-0.6,0.9,1
-0.46,-0.26,1
-0.39,-0.52,1
-0.04,0.04,1
-0.38,0.84,1
0.6,-0.27,1
0.95,0.91,1
0.64,-0.48,1
0.67,-0.78,-1
0.43,0.38,1
-0.14,0.39,1
-0.82,0.5,-1
-0.7,-0.12,1
0.28,-0.3,1
-0.68,0.4,1
0.04,-0.57,1
0.86,0.49,1
0.45,0.69,1
-0.34,-0.54,1
0.42,0.26,1
-0.86,-0.18,1
-0.49,0.75,1
-0.44,-0.32,1
-0.94,0.92,1
0.91,0,1
0.61,0.5,1
-0.84,0.89,1
0.11,-0.27,-1
-0.36,0.62,1
0.09,-0.55,-1
0.82,-0.27,-1
0.08,-0.81,1
0.47,0.3,1
-0.96,-0.55,-1
-0.73,0.16,-1
0.47,0.82,-1
-0.01,-0.47,-1
-0.16,0.73,1
-0.23,0.3,1
0.07,0.65,1
0.73,0.98,1
0.25,0.7,1
-0.22,-0.85,1
0.03,-0.4,1
-0.99,-0.97,1
0.09,0.79,1
-0.03,-0.63,1
0.42,0.42,1
0.13,0.88,1
-0.92,-0.87,1
-0.71,0.22,-1
-0.91,-0.17,1
0.96,0.95,-1
0.26,0.37,-1
0.23,0.31,1
-0.79,0.73,1
-0.98,0.74,-1
0.76,-0.05,1
0.55,0.43,1
-0.32,0.66,-1
-0.83,0.29,1
-0.97,-0.98,1
-0.45,0.8,-1
0.99,0.75,1
0.95,0.58,1
-0.04,0.23,1
-0.83,-0.08,-1
-0.55,0.76,1
0.89,-0.62,1
0.56,0.55,1
0.46,0.57,1
-0.59,0.99,-1
0.68,0.71,1
0.95,-0.99,1
0.27,-0.44,1
0.35,0.86,-1
-0.86,0.59,1
0.33,-0.1,1
0.52,0.26,-1
0.01,-0.05,-1
-0.5,-0.95,1
-0.23,0.14,1
-0.76,0.75,1
-0.54,-0.25,-1
-0.5,0.11,1
0.99,-0.63,1
-0.6,0.32,-1
0.87,0.04,1
0.52,-0.04,1
0.27,-0.62,1
-0.61,0.48,1
0.75,-0.87,1
-0.61,-0.43,1
-0.5,0.27,1
-0.54,-0.49,-1
0.64,-0.09,-1
-0.03,0.43,-1
0.36,0.33,1
0.6,0.58,1
-0.17,0.08,-1
0.24,0.41,-1
0.04,-0.88,1
-0.05,0.92,-1
0.27,-0.81,-1
0.64,0.46,1
-0.67,0.73,1
-0.04,0.12,1
0.95,-0.26,1
0.16,-0.35,1
-0.89,-0.95,-1
-0.02,0.66,-1
-0.99,-0.84,-1
-0.99,-0.45,-1
0.56,-0.12,1
0.1,-0.39,-1
-0.07,-0.19,1
0.97,0.43,1
0.77,-0.59,1
-0.02,0.83,1
0.38,0.66,-1
-0.76,0.78,-1
0.16,-0.94,1
0.98,-0.31,1
0.23,0.83,1
-0.77,0.93,-1
0.55,0.33,-1
0.47,-0.21,1
-0.85,0.57,1
-0.5,0.18,1
0.45,0.09,1
-0.66,-0.93,1
0.13,0.63,1
0.59,-0.22,1
-0.11,-0.05,1
-0.2,0.44,-1
0.12,0.76,1
0.69,0.08,1
-0.87,0.56,1
-0.61,0.26,1
0.18,-0.95,-1
-0.38,-0.8,-1
-0.62,0.4,1
-0.88,-0.79,-1
-0.67,0.14,1
-0.39,-0.2,-1
0.99,0.29,1
-0.94,0.24,1
-0.72,0.92,1
0.32,-0.67,-1
-0.83,-0.93,-1
0.97,0.29,-1
0.31,-0.53,-1
0.18,-0.52,-1
0.66,0,-1
0.65,0.95,-1
0.36,0.03,1
-0.08,0.99,1
-0.11,-0.37,-1
0.15,-0.62,1
-0.72,0.45,1
-0.21,0.35,1
0,0.43,1
-0.5,0.42,1
0.39,0.2,1
0.43,0.93,1
0.5,-0.85,1
0.13,0.64,1
0.72,-0.19,1
-0.12,0.05,1
0.9,-0.24,1
-0.67,-0.33,-1
0.87,0.75,-1
-0.44,-0.84,-1
-0.84,0.41,-1
0.8,-0.22,1
0.82,0.41,1
-0.67,0.62,-1
-0.51,0.65,-1
-0.26,-0.49,-1
0.18,-0.13,1
0.17,0.42,1
0.87,0.93,1
0.71,0.73,1
1,-0.24,1
-0.51,0.82,1
0.11,-0.41,1
-0.69,0.77,1
-0.49,-0.56,1
0.42,0.5,1
-0.6,-0.91,1
-0.81,0,1
-0.48,0.87,1
-0.42,0.64,1
-0.37,0.15,1
0.96,0.48,1
0.61,0.25,-1
-0.17,-0.34,1
-0.06,-0.48,-1
-0.08,-0.93,1
0.88,-0.52,-1
-0.56,0,-1
-0.95,-0.37,-1
-0.13,0.42,1
-0.95,-0.05,1
0.13,-0.94,1
0.04,-0.06,1
0.26,0.95,-1
0.33,-0.44,1
-0.92,-0.87,1
-0.07,0.34,1
0.54,0.44,1
-0.13,-0.16,1
0.98,-0.25,1
-0.4,-0.99,1
-0.96,-0.44,1
0.36,-0.07,1
-0.49,-0.81,1
-0.21,-0.16,-1
0.63,0.3,1
0.39,-0.08,1
-0.08,-0.5,1
-0.57,0.29,1
-0.64,-0.56,1
-0.7,-0.06,1
0.7,-0.5,-1
0.98,0.06,1
0.18,0.87,-1
-0.96,0.57,1
0.22,-0.17,1
-0.83,0.94,1
0.97,0.98,-1
-0.46,-0.07,-1
-0.68,-0.54,1
-0.96,-0.98,-1
-0.59,0.97,1
-0.76,-0.34,1
-0.04,0.59,1
-0.09,0.32,-1
-0.02,0.62,1
0.3,-0.9,-1
0.34,-0.57,-1
-0.29,0.45,-1
0.14,0,-1
-0.18,-0.61,1
0.34,-0.05,-1
-0.9,-0.48,1
0.97,0.73,1
-0.09,0.63,1
-0.65,-0.07,-1
-0.5,-0.31,-1
-0.21,0.28,1
-0.36,-0.45,-1
0.34,0.86,1
0.64,-0.92,-1
-0.61,0.57,1
-0.33,-0.25,-1
-0.2,-0.54,1
0.28,-0.16,-1
0.58,0.7,-1
0.29,-0.93,1
0.75,0.21,1
-0.79,0.66,1
0.99,-0.22,1
0.42,0.23,1
0.7,0.69,1
-0.51,0.16,-1
0.31,-0.66,-1
-0.89,0.21,1
-0.48,0.23,1
0.61,-0.63,1
-0.91,0.53,-1
-0.8,-0.46,1
0.64,-0.86,1
-0.85,0.45,-1
0.6,0.98,1
-0.11,0.11,1
0.3,-0.19,1
-0.11,0.63,1
0.53,-0.22,-1
-0.9,-0.99,1
0.57,0.54,1
0.81,-0.15,-1
-0.68,-0.24,1
0.75,0.03,1
0.19,-0.45,1
-0.65,0.32,1
-0.37,0.04,-1
-0.87,0.03,1
-0.58,-0.84,1
-0.49,-0.9,1
0.01,0.77,1
-0.39,0.59,1
0.42,0.59,-1
0.49,0.5,1
0.57,-0.34,1
0.88,0.93,1
-0.28,-0.01,-1
-0.26,0.53,1
-0.81,0.43,1
0.6,0.3,1
0.93,0.02,1
0.36,-0.7,-1
-0.58,-0.39,1
-0.15,-0.95,1
0.62,-0.54,1
-0.32,0.86,-1
0.45,-0.9,1
0.44,-0.11,1
0.29,0.11,-1
0.47,0.59,1
0.07,0.79,-1
-0.78,-0.3,1
-0.88,0.86,1
-0.38,-0.4,-1
0.05,0.61,-1
-0.98,0.79,1
-0.87,-0.49,-1
-0.78,-0.88,-1
0.49,0.26,1
0.3,0.4,1
-0.43,0.63,-1
-0.59,-0.78,1
-0.02,0.7,1
-0.9,0.9,1
0.85,0.86,-1
0.9,-0.61,1
0.16,0.64,-1
0.14,0.34,-1
-0.5,0.31,-1
0.76,0.45,1
-0.22,0.15,1
0.08,-0.26,1
-0.08,-0.56,-1
0.8,-0.35,-1
0.86,-0.16,-1
0.11,1,1
-0.82,0.97,1
-0.01,-0.11,1
0.61,0.08,-1
-0.71,-0.4,1
0.73,0.59,1
0.59,-0.74,1
-0.4,-0.71,-1
-0.74,0.4,-1
0.3,-0.52,1
0.37,0.61,1
0.57,0.14,1
0.58,0.07,1
0.09,-0.64,1
-0.03,0.08,1
0.28,-0.88,1
-0.25,-0.98,-1
0.58,0.18,1
-0.13,0.84,-1
0.4,0.99,1
-0.24,-0.74,1
-0.55,-0.3,1
0.64,-0.44,1
-1,0.07,1
0.75,-0.76,1
-0.51,-0.3,1
0.03,-0.11,-1
-0.21,-0.43,-1
-0.31,-0.51,1
0.46,-0.41,1
-0.81,0.81,-1
-0.33,0.9,1
0.34,0.88,1
0.94,-0.08,-1
-0.17,-0.75,1
0.41,-0.14,1
0.15,0.96,1
0.08,0.36,1
-0.3,-0.84,-1
0.69,-0.26,1
0.08,-0.11,-1
-0.71,0.65,1
0.01,0.1,1
-0.06,-0.7,1
0.61,-0.1,-1
0.2,-0.99,1
0.05,-0.97,1
-0.37,0.28,1
0.2,-0.83,1
-0.64,0.93,1
0.96,0.23,1
0.85,0.71,1
0.84,0.94,1
0.85,-0.57,1
-0.17,0.83,-1
-0.82,0.22,1
-0.51,1,1
0.46,0.62,1
0.89,0.75,-1
0.11,0.62,-1
0.57,0.41,1
-0.38,-0.88,-1
0.48,0.02,1
-0.8,0.18,1
-0.13,0.1,-1
0.44,0.96,1
0.41,0.71,1
0.58,-0.86,-1
0.53,-0.64,1
0.1,-0.74,1
-0.16,0.38,1
0.51,-0.29,-1
0.75,0.95,1
-0.85,-0.82,1
-0.03,0.8,1
-0.84,-0.76,-1
0.26,-0.8,-1
0.69,-0.29,1
-0.92,0.17,1
-0.9,-0.24,-1
-0.78,-0.99,-1
0.89,0.48,1
0.82,0.28,1
-0.13,0.45,1
0.61,-0.42,-1
-0.14,-0.27,1
0.83,-0.76,-1
-0.08,0.61,1
0.26,0.77,1
-0.59,0.9,1
0.4,0.37,-1
0.42,-0.39,1
-0.85,0.19,-1
-0.61,0.3,1
0.92,0.59,1
-0.66,-0.99,1
-0.04,0.74,-1
0.46,0.31,1
-0.62,0.95,1
-0.11,0.8,1
0.17,-0.63,1
0.02,-0.08,1
-0.31,-0.69,1
-0.73,0.5,-1
0.6,0.48,1
-0.17,-0.15,1
-0.45,0.45,-1
0.14,-0.8,1
-0.77,0.1,1
0.29,0.41,1
0.35,-0.78,1
-0.54,0.63,1
0.94,0.59,-1
-0.05,-0.41,1
-0.42,-0.01,1
-0.97,-0.73,-1
-0.38,-0.26,1
-0.83,0.75,-1
-0.08,0.33,1
-0.93,-0.17,1
0.31,-0.47,1
0.68,-0.93,-1
-0.17,0.54,1
0.25,0.68,1
0.02,0.71,-1
-0.95,0.21,-1
-0.27,-0.76,-1
-0.57,-0.29,1
-0.91,-0.9,1
-0.46,-0.3,1
-0.92,-0.2,1
-0.67,0.5,-1
-0.77,0.08,1
0.79,0.6,-1
-0.36,0.19,1
-0.07,-0.47,1
-0.77,0.7,1
0.61,-0.53,1
0.18,-0.2,1
-0.33,-0.11,1
-0.6,0.97,1
0.11,0.18,-1
-0.52,0.92,1
0.49,-0.54,1
0.09,0.8,1
0.86,0.27,1
0.65,0.61,-1
0.6,-0.08,1
-0.38,-0.61,-1
-0.83,-0.97,1
-0.93,-0.32,-1
0.87,-0.81,1
-0.61,-0.97,1
0.67,0.53,1
0.1,0.71,-1
0.32,-0.02,-1
0.65,0.9,-1
0.5,-0.86,1
0.48,0.95,1
0.11,-0.48,1
-0.03,0.39,1
-0.61,0.22,1
-0.92,-0.2,-1
-0.14,-0.97,1
-0.87,0.83,1
-0.55,-0.35,1
0.87,-0.85,1
0.11,-0.34,-1
0.72,-0.04,1
-0.11,0.58,1
-0.17,-0.55,-1
0.69,-0.75,1
-0.48,-0.23,1
-0.82,0.58,-1
-0.32,0.06,-1
0.37,-0.71,1
-0.56,0.85,1
-0.04,0.87,1
-0.37,0.87,1
-0.67,-0.08,-1
0.07,-0.34,1
-0.29,0.09,1
-0.58,0.8,1
-0.84,0.84,1
1,0.05,1
-0.31,-0.84,1
0.86,0.7,1
-0.22,0.63,-1
-0.88,0.87,1
0.84,-0.56,1
0.9,0.77,1
0.39,0.93,1
-0.37,-0.35,-1
-0.32,0.6,1
0.5,0.43,1
0.91,-0.67,1
0.7,0.66,1
-0.58,0.71,1
0.01,-0.8,1
-0.2,0,1
0.05,-0.18,1
0.33,0.71,1
-0.3,-0.41,1
0.2,0.6,1
-0.9,-0.45,1
-0.35,-0.41,1
-0.98,-0.88,1
0.38,-0.63,1
0.45,0.85,-1
0.43,-0.03,1
0.4,-0.71,-1
-0.24,-0.89,1
0.55,-0.03,1
0.74,-0.1,1
-0.51,-0.24,1
-0.84,0.95,-1
0.39,-0.3,1
-0.48,0.08,-1
0.56,0.34,1
0.93,0.46,1
